asiento,codigo_legacy,cuenta_nombre,fecha,debe,haber,enlace,sucursal
19,61,Mercad. Gravadas 5%,03/01/26,38095.0,0.0,3,1
19,165,Proveedores locales,03/01/26,0.0,40000.0,3,1
64,10,Banco Atlas Cta. Cte. Gs. 1094885,05/01/26,3219389.0,0.0,172,1
64,8,Recaud. a depositar,05/01/26,0.0,3219389.0,172,1
67,8,Recaud. a depositar,05/01/26,0.0,30000.0,173,1
67,10,Banco Atlas Cta. Cte. Gs. 1094885,05/01/26,30000.0,0.0,173,1
117,45,IVA Credito fiscal,07/01/26,1238.0,0.0,20,1
117,165,Proveedores locales,07/01/26,0.0,26000.0,20,1
117,61,Mercad. Gravadas 5%,07/01/26,24762.0,0.0,20,1
120,167,FACTURA PENDIENTE DE PAGO,08/01/26,1934100.0,0.0,40,1
120,11,Banco Atlas Cta. Cte. Gs. 1562972,08/01/26,0.0,1934100.0,40,1
123,45,IVA Credito fiscal,06/01/26,2273.0,0.0,25,1
123,572,Envíos y Encomiendas,06/01/26,22727.0,0.0,25,1
123,14,Fondo Fijo,06/01/26,0.0,25000.0,25,1
134,167,FACTURA PENDIENTE DE PAGO,07/01/26,0.0,770000.0,31,1
134,45,IVA Credito fiscal,07/01/26,70000.0,0.0,31,1
134,60,Mercad. Gravadas 10%,07/01/26,700000.0,0.0,31,1
136,10,Banco Atlas Cta. Cte. Gs. 1094885,09/01/26,50052998.0,0.0,4,1
136,10,Banco Atlas Cta. Cte. Gs. 1094885,09/01/26,0.0,50052998.0,4,1
149,10,Banco Atlas Cta. Cte. Gs. 1094885,10/01/26,150000.0,0.0,198,1
4,165,Proveedores locales,04/05/26,2793750.0,0.0,13,1
4,10,Banco Atlas Cta. Cte. Gs. 1094885,04/05/26,0.0,2793750.0,13,1
22,396,Costo de Ventas- Servicios,03/01/26,5587273.0,0.0,6,1
22,10,Banco Atlas Cta. Cte. Gs. 1094885,03/01/26,0.0,6146000.0,6,1
22,45,IVA Credito fiscal,03/01/26,558727.0,0.0,6,1
68,10,Banco Atlas Cta. Cte. Gs. 1094885,05/01/26,30000.0,0.0,174,1
68,8,Recaud. a depositar,05/01/26,0.0,30000.0,174,1
