numero_cuenta,codigo_legacy,nombre,cuenta_madre,imputable,naturaleza
00-000-000-000-000-000,649,05-013-001-008-014-000,05-013-001-008-000-000,S,D
01-000-000-000-000-000,1,ACTIVO,01-000-000-000-000-000,N,D
01-001-000-000-000-000,2,ACTIVO CORRIENTE,01-000-000-000-000-000,N,D
01-001-001-000-000-000,3,DISPONIBILIDADES,01-001-000-000-000-000,N,D
01-001-001-001-000-000,4,CAJA,01-001-001-000-000-000,N,D
01-001-001-001-001-000,5,Caja,01-001-001-001-000-000,S,D
01-001-001-001-002-000,6,caja USD,01-001-001-001-000-000,S,D
01-001-001-002-000-000,7,RECAUDACIONES A DEPOSITAR,01-001-001-000-000-000,S,D
01-001-001-002-001-000,8,Recaud. a depositar,01-001-001-002-000-000,S,D
01-001-001-003-000-000,9,BANCOS,01-001-001-000-000-000,N,D
01-001-001-003-001-000,10,Banco Atlas Cta. Cte. Gs. 1094885,01-001-001-003-000-000,S,D
01-001-001-003-002-000,11,Banco Atlas Cta. Cte. Gs. 1562972,01-001-001-003-000-000,S,D
01-001-001-003-003-000,12,Banco Atlas Cta. Cte. Usd. 1562976,01-001-001-003-000-000,S,D
01-001-001-003-004-000,658,Banco Nacional de Fomento C.Ahorro 022-00-2222939,01-001-001-003-000-000,S,D
01-001-001-004-000-000,13,OTROS VALORES,01-001-001-000-000-000,N,D
01-001-001-004-001-000,14,Fondo Fijo,01-001-001-004-000-000,S,D
01-001-001-004-002-000,15,Fondos a Rendir,01-001-001-004-000-000,S,D
01-001-001-005-000-000,16,CHEQUES A VENCER,01-001-001-000-000-000,N,D
01-001-001-005-001-000,17,Cheques a Depositar Gs.,01-001-001-005-000-000,S,D
01-001-001-005-002-000,18,Cheques a Depositar USD,01-001-001-005-000-000,S,D
01-001-002-000-000-000,19,INVERSIONES TEMPORARIAS,01-001-000-000-000-000,N,D
01-001-003-000-000-000,20,CREDITOS,01-001-000-000-000-000,N,D
01-001-003-001-000-000,21,CLIENTES LOCALES,01-001-003-000-000-000,N,D
01-001-003-001-001-000,22,Clientes Gs.,01-001-003-001-000-000,S,D
01-001-003-001-002-000,23,Clientes USD,01-001-003-001-000-000,S,D
01-001-003-001-003-000,24,Alquileres a Cobrar,01-001-003-001-000-000,S,D
