codigo,nombre,precio,iva,deposito,codigo_barras,stock_min,stock
4000459,FRAZADITA CELESTE MAXIPLUS (D MAMA),0.0,10,URGENCIAS(2),4000459,0.0,0.0
4000459,FRAZADITA CELESTE MAXIPLUS (D MAMA),0.0,10,INTERNADO(3),4000459,0.0,0.0
4000459,FRAZADITA CELESTE MAXIPLUS (D MAMA),0.0,10,QUIROFANO(4),4000459,0.0,0.0
4000459,FRAZADITA CELESTE MAXIPLUS (D MAMA),0.0,10,ADMINISTRACION,4000459,0.0,0.0
4000459,FRAZADITA CELESTE MAXIPLUS (D MAMA),0.0,10,CARRO DE PARO,4000459,0.0,0.0
4000460,FRAZADITA ROSA MAXIPLUS (D MAMA),0.0,10,FARMACIA INTERNA(1),4000460,0.0,1.0
4000460,FRAZADITA ROSA MAXIPLUS (D MAMA),0.0,10,URGENCIAS(2),4000460,0.0,0.0
4000460,FRAZADITA ROSA MAXIPLUS (D MAMA),0.0,10,INTERNADO(3),4000460,0.0,0.0
4000460,FRAZADITA ROSA MAXIPLUS (D MAMA),0.0,10,QUIROFANO(4),4000460,0.0,0.0
4000460,FRAZADITA ROSA MAXIPLUS (D MAMA),0.0,10,ADMINISTRACION,4000460,0.0,0.0
4000460,FRAZADITA ROSA MAXIPLUS (D MAMA),0.0,10,CARRO DE PARO,4000460,0.0,0.0
4000461,FRAZADITA BLANCO MAXIPLUS (D MAMA),0.0,10,FARMACIA INTERNA(1),4000461,0.0,1.0
4000461,FRAZADITA BLANCO MAXIPLUS (D MAMA),0.0,10,URGENCIAS(2),4000461,0.0,0.0
4000461,FRAZADITA BLANCO MAXIPLUS (D MAMA),0.0,10,INTERNADO(3),4000461,0.0,0.0
4000461,FRAZADITA BLANCO MAXIPLUS (D MAMA),0.0,10,QUIROFANO(4),4000461,0.0,0.0
4000461,FRAZADITA BLANCO MAXIPLUS (D MAMA),0.0,10,ADMINISTRACION,4000461,0.0,0.0
4000461,FRAZADITA BLANCO MAXIPLUS (D MAMA),0.0,10,CARRO DE PARO,4000461,0.0,0.0
4000462,BOLSA PATOLOGICA ROJA P7 80LTS X 10,15000.0,10,FARMACIA INTERNA(1),4000462,0.0,1.0
4000462,BOLSA PATOLOGICA ROJA P7 80LTS X 10,15000.0,10,URGENCIAS(2),4000462,0.0,0.0
4000462,BOLSA PATOLOGICA ROJA P7 80LTS X 10,15000.0,10,INTERNADO(3),4000462,0.0,0.0
4000462,BOLSA PATOLOGICA ROJA P7 80LTS X 10,15000.0,10,QUIROFANO(4),4000462,0.0,0.0
4000462,BOLSA PATOLOGICA ROJA P7 80LTS X 10,15000.0,10,ADMINISTRACION,4000462,0.0,0.0
4000462,BOLSA PATOLOGICA ROJA P7 80LTS X 10,15000.0,10,CARRO DE PARO,4000462,0.0,0.0
